,Year 9 Mean Math Score,Year 10 Mean Math Score,Year 11 Mean Math Score,Year 12 Mean Math Score
Huang High School,69.08,68.53,69.43,68.64
Figueroa High School,68.48,68.33,68.81,69.33
Shelton High School,72.93,72.51,70.1,72.33
Hernandez High School,68.59,68.87,69.15,68.99
Griffin High School,72.79,71.09,71.69,71.47
Wilson High School,69.21,69.46,68.38,69.79
Cabrera High School,72.32,72.44,71.01,70.6
Bailey High School,72.49,71.9,72.37,72.68
Holden High School,70.54,75.11,71.64,73.41
Pena High School,72.0,72.4,72.52,71.19
Wright High School,71.74,72.18,73.28,70.85
Rodriguez High School,71.94,71.78,72.36,72.15
Johnson High School,69.47,67.99,68.64,69.29
Ford High School,69.02,69.39,69.25,68.62
Thomas High School,69.23,70.06,69.66,69.37
