,Year 9 Mean Reading Score,Year 10 Mean Reading Score,Year 11 Mean Reading Score,Year 12 Mean Reading Score
Huang High School,68.67,69.52,68.74,68.67
Figueroa High School,70.26,67.68,69.15,69.08
Shelton High School,70.72,69.88,71.15,69.07
Hernandez High School,68.48,70.62,68.42,69.24
Griffin High School,72.03,70.75,72.39,69.43
Wilson High School,68.68,68.41,68.8,69.89
Cabrera High School,71.17,71.33,71.2,71.86
Bailey High School,70.9,70.85,70.32,72.2
Holden High School,71.6,71.1,73.31,70.48
Pena High School,70.95,72.32,71.7,71.51
Wright High School,71.82,71.39,70.48,69.82
Rodriguez High School,70.9,70.14,71.42,71.41
Johnson High School,68.72,69.3,69.97,67.99
Ford High School,69.62,68.99,70.74,68.85
Thomas High School,69.67,69.74,70.75,68.73
